Título del evento: Cuentos de enredos y travesuras con Nelson Calderón, Inicio: 2017-11-16 18:00:00.0, Finalización: 2017-11-16 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13724410571fe510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos de enredos y travesuras con Nelson Calderón, Inicio: 2017-12-14 18:00:00.0, Finalización: 2017-12-14 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e8e298df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos de enredos y travesuras con Nelson Calderón, Inicio: 2017-10-25 18:00:00.0, Finalización: 2017-10-25 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c4a3562d96e0e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos de enredos y travesuras con Nelson Calderón, Inicio: 2017-11-02 18:00:00.0, Finalización: 2017-11-02 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f69e98df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos de enredos y travesuras con Nelson Calderón, Inicio: 2017-11-21 18:00:00.0, Finalización: 2017-11-21 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca41562d96e0e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos de enredos y travesuras con Nelson Calderón, Inicio: 2017-10-26 18:00:00.0, Finalización: 2017-10-26 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b54498df8ed0e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos infantiles en la Biblioteca Pública Municipal La Chata, Inicio: 2017-11-24 18:00:00.0, Finalización: 2017-11-24 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8e6b21dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos infantiles en la Biblioteca Pública Municipal La Chata, Inicio: 2017-12-15 18:00:00.0, Finalización: 2017-12-15 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13cb21dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos infantiles en la Biblioteca Pública Municipal La Chata, Inicio: 2017-10-27 18:00:00.0, Finalización: 2017-10-27 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=63da21dc4131e510VgnVCM1000001d4a900aRCRD
Título del evento: Cuentos por las ramas con Alicia Mohino, Inicio: 2017-11-30 18:00:00.0, Finalización: 2017-11-30 23:59:00.0, Url: http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9073c686ebe0e510VgnVCM1000001d4a900aRCRD
