CROWN EMBALAJES ESPAÑA,20
DIC COATINGS,9
DOW CHEMICAL IBERICA,30
CONSORCIO DE AGUAS BILBAO BIZKAIA,17
EUSKAL KATAFORESIS,13
ELMET,38
"ESTAMPACIONES METALICAS BIZKAIA, S.A.",19
FAES FARMA,17
FMC-FORET,11
FORMICA,28
FUCHOSA,11
FUNDICION NODULAR FLESIC,8
FUNDICIONES FUMBARRI-DURANGO,9
FUNDICIONES GARBI,6
FUNDICIONES PALACIO,8
FUNDICIONES SAN ANTONIO DE URKIOLA,4
FUNDICIONES SAN ELOY,14
FURESA,9
FYTASA FUNDICIONES,8
GEA IBERICA,20
"ILARDUYA PRODUCTOS DE FUNDICION, S.L.U.",25
INDUSTRIA DE MADERAS AGLOMERADAS,16
"INDUMETAL RECYCLING, S.A.",37
INDUSTRIA DE TURBO PROPULSORES,28
INYECTADOS GABI,5
INYECTAMETAL,12
JESUS OÑATE Y HERMANOS,14
J.L. FRENCH ANSOLA,11
KIMBERLY CLARK,10
LAMINADOS LOSAL,8
LARRABE OILOTEGIA SAT Nº 130,1
MAIER,22
MANUEL GARCIA MENDOZA,7
SOCIEDAD GANADERA GUROKELA 2004,7
MAXAM EUROPE,13
MAXAM U.E.B.,14
"MEBUNIK, S.A.",14
METALES IBERICA ARANZADI,3
"MOMENTIVE SPECIALTY CHEMICALS ASUA, S.L.",15
MONTORRETAS,9
MUGAPE,30
NERVACERO,30
ONDULINE MATERIALES DE CONSTRUCCION,13
LEAF BUSINESS HOLDINGS SPAIN,14
PASTGUREN,6
PETROLEOS DEL NORTE,31
PRODUCTOS DE FUNDICION,10
PRODUCTOS TUBULARES,38
RECUBRIMIENTOS ELECTROLITICOS CONDUCTORES,2
SDAD. COOP IND FUND MEALICAS SAN VICENTE,2
S.A. DE DESC. Y ELIMIN. DE RESID.,784
SALICA INDUSTRIA ALIMENTARIA,13
SEBERIA BILBAINA,1
"SMURFIT KAPPA NERVION, S.A.",14
SOGECAR,40
TALLERES FABIO MURGA,10
TARABUSI,21
TENNECO AUTOMOTIVE IBERICA,27
TRADEBE,7
BILBOKO UDALA - AYUNTAMIENTO DE BILBAO,8
GARBIKER A.B. (S.A.),4
CESPA CONTEN,4
VIDRIERIA Y CRISTALERIA DE LAMIACO,19
"VIRTISU, S.L.",3
ZABALGARBI,1
ZF SACHS ESPAÑA,19
